0.036401,0.081083,0.12976,0.17789,0.22432,0.2683,0.30922,0.34655,0.37984,0.40876,0.43309,0.45275,0.46786,0.47865,0.48554,0.48904,0.48973,0.48824,0.48512,0.48083,0.47567,0.46973,0.46296,0.45508,0.44572,0.43442,0.42074,0.40425,0.38464,0.36174,0.33553,0.30615,0.27393,0.23936,0.2031,0.16595,0.12889,0.093039,0.059776,0.030938,0.010081
0.17004,0.37876,0.60613,0.83101,1.0479,1.2534,1.4447,1.6192,1.7748,1.9101,2.0239,2.1159,2.1867,2.2373,2.2696,2.2861,2.2895,2.2826,2.2682,2.2482,2.2241,2.1965,2.1649,2.1281,2.0844,2.0316,1.9676,1.8905,1.7989,1.6918,1.5692,1.4319,1.2812,1.1195,0.94989,0.77616,0.60281,0.43515,0.27957,0.1447,0.047149
0.39045,0.86974,1.3919,1.9084,2.4067,2.879,3.3185,3.7198,4.0779,4.3892,4.6513,4.8635,5.0268,5.1438,5.2188,5.2574,5.2658,5.2507,5.2179,5.1724,5.1175,5.0543,4.9818,4.8975,4.7971,4.6759,4.5288,4.3515,4.1407,3.8943,3.6122,3.2961,2.9492,2.5771,2.1867,1.7868,1.3877,1.0017,0.64361,0.33311,0.10854
0.63792,1.421,2.2743,3.1185,3.9332,4.7055,5.4248,6.0817,6.6684,7.1788,7.609,7.9578,8.2267,8.4199,8.5444,8.6091,8.6244,8.601,8.5486,8.4753,8.3864,8.2836,8.1657,8.0282,7.8643,7.666,7.4253,7.135,6.7896,6.3859,5.9235,5.4052,4.8366,4.2263,3.5861,2.9303,2.2759,1.6429,1.0555,0.54633,0.17802
0.86932,1.9366,3.0997,4.2507,5.3618,6.4157,7.3978,8.2954,9.0978,9.7967,10.387,10.866,11.236,11.503,11.676,11.767,11.791,11.761,11.692,11.594,11.474,11.335,11.176,10.989,10.765,10.495,10.166,9.7696,9.2971,8.7448,8.112,7.4024,6.6239,5.7883,4.9116,4.0134,3.1172,2.2502,1.4458,0.7483,0.24383
1.0643,2.371,3.7953,5.2053,6.5671,7.8595,9.0647,10.167,11.154,12.015,12.742,13.334,13.793,14.126,14.343,14.46,14.493,14.461,14.379,14.262,14.118,13.95,13.755,13.527,13.254,12.923,12.519,12.032,11.451,10.771,9.9923,9.1186,8.1599,7.1308,6.051,4.9446,3.8404,2.7724,1.7813,0.92195,0.30041
1.2182,2.714,4.3448,5.9598,7.5204,9.0026,10.386,11.653,12.788,13.78,14.62,15.306,15.839,16.227,16.483,16.623,16.668,16.636,16.548,16.417,16.255,16.065,15.845,15.585,15.273,14.893,14.43,13.87,13.201,12.419,11.521,10.515,9.4097,8.2234,6.9783,5.7025,4.4292,3.1975,2.0544,1.0633,0.34648
1.3341,2.9723,4.7589,6.5289,8.2404,9.8671,11.387,12.781,14.031,15.126,16.055,16.816,17.409,17.844,18.134,18.296,18.353,18.325,18.234,18.097,17.924,17.719,17.481,17.198,16.857,16.44,15.931,15.315,14.578,13.715,12.726,11.614,10.395,9.0845,7.7094,6.3001,4.8936,3.5328,2.2699,1.1749,0.38283
1.4175,3.1584,5.0575,6.9399,8.7613,10.494,12.115,13.603,14.941,16.114,17.112,17.932,18.575,19.049,19.368,19.551,19.621,19.6,19.511,19.372,19.193,18.98,18.73,18.431,18.07,17.627,17.085,16.426,15.638,14.714,13.654,12.463,11.154,9.7492,8.2739,6.7617,5.2523,3.7918,2.4364,1.2611,0.41092
1.4743,3.2852,5.2612,7.2209,9.1185,10.925,12.618,14.174,15.575,16.807,17.858,18.724,19.407,19.913,20.259,20.462,20.546,20.534,20.451,20.313,20.134,19.918,19.662,19.355,18.98,18.519,17.953,17.264,16.438,15.469,14.356,13.105,11.73,10.253,8.7023,7.1122,5.5247,3.9886,2.5629,1.3266,0.43226
1.5095,3.3639,5.388,7.3965,9.3429,11.198,12.938,14.541,15.987,17.26,18.351,19.253,19.967,20.502,20.87,21.092,21.191,21.192,21.117,20.985,20.81,20.595,20.338,20.026,19.645,19.173,18.591,17.881,17.029,16.028,14.876,13.581,12.158,10.628,9.0209,7.3731,5.7276,4.1353,2.6572,1.3754,0.44818
1.5273,3.4038,5.4527,7.487,9.46,11.343,13.111,14.742,16.217,17.519,18.638,19.567,20.307,20.865,21.254,21.495,21.61,21.624,21.56,21.437,21.269,21.059,20.805,20.494,20.11,19.633,19.042,18.319,17.45,16.427,15.249,13.924,12.466,10.898,9.2512,7.5617,5.8745,4.2415,2.7255,1.4108,0.45972
1.531,3.4122,5.4671,7.5085,9.4902,11.383,13.163,14.809,16.3,17.62,18.758,19.707,20.466,21.044,21.453,21.712,21.843,21.872,21.821,21.71,21.551,21.35,21.102,20.795,20.414,19.936,19.342,18.613,17.734,16.697,15.503,14.158,12.677,11.084,9.4096,7.6919,5.976,4.315,2.7728,1.4353,0.46772
